ID,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
49,Hyundai,i10ERA,"£222,699.00",2008,Hyderabad,Petrol,83568KM,Manual,2,4954
50,Hyundai,i10MAGNA 1.2 KAPPA2,"£346,399.00",2011,Hyderabad,Petrol,44470KM,Manual,2,7705
51,Maruti,Eeco5 STR WITH AC PLUSHTR,"£403,399.00",2018,Hyderabad,Petrol,18791KM,Manual,1,8973
52,Maruti,Wagon R 1.0LXI CNG,"£298,099.00",2011,Hyderabad,Petrol + CNG,59661KM,Manual,2,6631
53,Honda,Brio1.2 V MT I VTEC,"£368,899.00",2012,Hyderabad,Petrol,58292KM,Manual,1,8206
54,Hyundai,Grand i10SPORTS 1.2 VTVT,"£461,599.00",2015,Hyderabad,Petrol,45191KM,Manual,1,10268
55,Hyundai,i10MAGNA 1.2,"£310,999.00",2010,Hyderabad,Petrol,23488KM,Manual,1,6918
56,Hyundai,i10SPORTZ 1.2 AT KAPPA2,"£393,499.00",2011,Hyderabad,Petrol,31976KM,Automatic,2,8753
57,Hyundai,i10MAGNA 1.2,"£312,399.00",2010,Hyderabad,Petrol,55317KM,Manual,1,6949
58,Maruti,Alto 800LXI,"£309,699.00",2013,Hyderabad,Petrol,31384KM,Manual,1,6889
59,Maruti,AltoLXI,"£206,199.00",2011,Hyderabad,Petrol,66212KM,Manual,2,4587
60,Maruti,RitzVXI BS IV,"£372,899.00",2012,Hyderabad,Petrol,31891KM,Manual,2,8295
61,Maruti,Alto K10VXI,"£279,799.00",2013,Hyderabad,Petrol,44958KM,Manual,2,6224
62,Hyundai,i10MAGNA 1.2 KAPPA2,"£319,399.00",2012,Hyderabad,Petrol,50097KM,Manual,2,7105
63,Maruti,Alto 800LXI,"£324,499.00",2018,Hyderabad,Petrol,20687KM,Manual,2,7218
64,Maruti,Wagon R StingrayVXI,"£353,699.00",2013,Hyderabad,Petrol,51120KM,Manual,2,7868
65,Honda,Brio1.2 V MT I VTEC,"£398,399.00",2012,Hyderabad,Petrol,42518KM,Manual,1,8862
66,Hyundai,Grand i10SPORTZ O 1.2,"£534,799.00",2017,Hyderabad,Petrol,17700KM,Manual,1,11896
67,Hyundai,Grand i10SPORTS 1.2 VTVT,"£528,399.00",2016,Hyderabad,Petrol,33396KM,Manual,1,11754
68,Maruti,Alto 800LXI,"£335,499.00",2018,Hyderabad,Petrol,25725KM,Manual,1,7463
69,Maruti,Eeco5 STR WITH AC PLUSHTR,"£493,799.00",2019,Hyderabad,Petrol,9128KM,Manual,1,10984
70,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,"£541,999.00",2018,Hyderabad,Petrol,9147KM,Manual,1,12056
71,Maruti,AltoLXI,"£240,299.00",2012,Hyderabad,Petrol,50011KM,Manual,2,5345
72,Maruti,CelerioZXI OPT,"£402,799.00",2015,Hyderabad,Petrol,43028KM,Manual,2,8960
73,Hyundai,i10SPORTZ 1.2 KAPPA2,"£369,099.00",2011,Hyderabad,Petrol,38337KM,Manual,1,8210
74,Hyundai,i10MAGNA 1.1 IRDE2,"£244,699.00",2008,Hyderabad,Petrol,63141KM,Manual,2,5443
75,Maruti,SwiftVXI,"£449,899.00",2015,Hyderabad,Petrol,49228KM,Manual,1,10008
76,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,"£543,599.00",2018,Hyderabad,Petrol,12750KM,Manual,2,12092
77,Maruti,Wagon R 1.0LXI,"£308,599.00",2011,Hyderabad,Petrol,63165KM,Manual,1,6865
78,Maruti,Alto K10VXI,"£262,999.00",2012,Hyderabad,Petrol,58012KM,Manual,2,5850
79,Maruti,Alto 800LXI,"£281,999.00",2013,Hyderabad,Petrol,40932KM,Manual,1,6273
80,Honda,Jazz1.2 SV PETROL,"£483,599.00",2015,Hyderabad,Petrol,56710KM,Manual,2,10757
81,Maruti,Wagon R 1.0LXI CNG,"£297,199.00",2011,Hyderabad,Petrol + CNG,69000KM,Manual,2,6611
82,Maruti,DzireVDI,"£659,699.00",2017,Hyderabad,Diesel,33397KM,Manual,1,14675
83,Maruti,Wagon R 1.0VXI,"£378,499.00",2016,Hyderabad,Petrol,39789KM,Manual,1,8420
84,Hyundai,i10MAGNA 1.2 KAPPA2,"£349,799.00",2013,Hyderabad,Petrol,57200KM,Manual,1,7781
85,Maruti,Wagon R 1.0VXI,"£299,699.00",2012,Hyderabad,Petrol,46828KM,Manual,2,6667
86,Maruti,Alto 800LXI,"£290,099.00",2014,Hyderabad,Petrol,32811KM,Manual,1,6453
87,Maruti,Alto 800LXI,"£331,299.00",2018,Hyderabad,Petrol,7885KM,Manual,1,7370
88,Maruti,Eeco5 STR WITH AC PLUSHTR,"£449,299.00",2019,Hyderabad,Petrol,10025KM,Manual,1,9994
89,Maruti,Wagon R 1.0VXI,"£449,699.00",2018,Hyderabad,Petrol,30221KM,Manual,1,10003
90,Maruti,Alto K10VXI,"£260,499.00",2012,Hyderabad,Petrol,56712KM,Manual,1,5795
91,Maruti,Alto 800VXI,"£288,899.00",2015,Hyderabad,Petrol,47247KM,Manual,1,6426
92,Maruti,Eeco5 STR WITH AC PLUSHTR,"£479,999.00",2019,Hyderabad,Petrol,23410KM,Manual,1,10677
93,Maruti,Eeco5 STR WITH AC PLUSHTR,"£413,699.00",2019,Hyderabad,Petrol,17802KM,Manual,1,9203
94,Maruti,Swift DzireVXI 1.2 BS IV,"£483,899.00",2014,Hyderabad,Petrol,35103KM,Manual,1,10764
95,Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,"£525,999.00",2017,Hyderabad,Petrol,24025KM,Manual,1,11701
96,Maruti,Wagon R 1.0VXI,"£300,099.00",2011,Hyderabad,Petrol,65981KM,Manual,2,6676
97,Hyundai,i10SPORTZ 1.2 AT KAPPA2,"£334,499.00",2011,Hyderabad,Petrol,73802KM,Automatic,2,7441
98,Maruti,Alto K10VXI,"£234,999.00",2012,Hyderabad,Petrol,62592KM,Manual,2,5227
99,Hyundai,i10MAGNA 1.2 KAPPA2,"£296,999.00",2011,Hyderabad,Petrol,72242KM,Manual,3,6607
100,Maruti,Wagon R StingrayVXI,"£371,899.00",2014,Hyderabad,Petrol,50426KM,Manual,2,8273
101,Maruti,Eeco5 STR WITH AC PLUSHTR,"£406,199.00",2018,Hyderabad,Petrol,25514KM,Manual,1,9036
102,Hyundai,Elite i20SPORTZ 1.2,"£653,099.00",2017,Hyderabad,Petrol,19301KM,Manual,1,14528
103,Hyundai,i10SPORTZ 1.2 KAPPA2,"£365,099.00",2012,Hyderabad,Petrol,65288KM,Manual,1,8121
104,Maruti,Alto K10VXI,"£211,199.00",2011,Hyderabad,Petrol,73025KM,Manual,2,4698
105,Honda,Amaze1.2 VXMT I VTEC,"£516,399.00",2017,Hyderabad,Petrol,17922KM,Manual,2,11487
106,Maruti,BalenoALPHA 1.2 K12,"£680,899.00",2017,Hyderabad,Petrol,26065KM,Manual,2,15146
107,Hyundai,i10MAGNA 1.2 KAPPA2,"£280,799.00",2011,Hyderabad,Petrol,73867KM,Manual,1,6246
108,Maruti,AltoLXI CNG,"£197,799.00",2011,Hyderabad,Petrol + CNG,70720KM,Manual,1,4400
109,Hyundai,i10SPORTZ 1.2 KAPPA2,"£358,199.00",2012,Hyderabad,Petrol,58357KM,Manual,2,7968
110,Maruti,SwiftVXI 1.3,"£308,199.00",2008,Hyderabad,Petrol,70663KM,Manual,2,6856
111,Tata,TiagoXT 1.2 REVOTRON,"£439,299.00",2018,Hyderabad,Petrol,23745KM,Manual,1,9772
112,Maruti,Wagon R 1.0VXI,"£291,299.00",2010,Hyderabad,Petrol,65373KM,Manual,1,6480
113,Hyundai,i10MAGNA,"£264,399.00",2009,Hyderabad,Petrol,37980KM,Manual,1,5881
114,Maruti,RitzVXI BS IV,"£321,599.00",2011,Hyderabad,Petrol,65841KM,Manual,1,7154
115,Maruti,AltoLXI,"£176,999.00",2009,Hyderabad,Petrol,54950KM,Manual,1,3937
116,Hyundai,i10MAGNA 1.2,"£293,299.00",2010,Hyderabad,Petrol,78302KM,Manual,2,6524
117,Hyundai,EonERA PLUS,"£322,399.00",2013,Hyderabad,Petrol,31166KM,Manual,1,7172
118,Maruti,Alto 800LXI,"£317,799.00",2013,Hyderabad,Petrol,30581KM,Manual,1,7069
119,Maruti,Eeco5 STR WITH AC PLUSHTR,"£437,399.00",2019,Hyderabad,Petrol,18951KM,Manual,1,9730
120,Maruti,AltoLXI,"£242,199.00",2012,Hyderabad,Petrol,64304KM,Manual,1,5388
121,Hyundai,i10MAGNA 1.2 KAPPA2,"£320,699.00",2011,Hyderabad,Petrol,70969KM,Manual,1,7134
122,Maruti,AltoLXI,"£194,599.00",2010,Hyderabad,Petrol,59344KM,Manual,2,4329
123,Maruti,,"£297,899.00",2016,Hyderabad,Petrol,60866KM,,1,6627
124,Honda,Jazz1.2 V MT,"£571,299.00",2017,Hyderabad,Petrol,34743KM,Manual,1,12708
125,Hyundai,i10SPORTZ 1.2 AT KAPPA2,"£328,399.00",2011,Hyderabad,Petrol,109888KM,Automatic,2,7305
126,Maruti,Wagon R 1.0VXI,"£427,199.00",2016,Hyderabad,Petrol,35463KM,Manual,1,9503
127,Honda,Amaze1.2 SMT I VTEC,"£466,399.00",2015,Hyderabad,Petrol,37907KM,Manual,1,10375
128,Hyundai,i10MAGNA 1.2 KAPPA2,"£318,699.00",2013,Hyderabad,Petrol,87911KM,Manual,2,7089
129,Maruti,Eeco5 STR WITH AC PLUSHTR,"£451,499.00",2019,Hyderabad,Petrol,21402KM,Manual,1,10043
130,Maruti,CelerioVXI,"£377,899.00",2014,Hyderabad,Petrol,51226KM,Manual,2,8406
131,Maruti,Wagon RLXI,"£238,699.00",2009,Hyderabad,Petrol,68635KM,Manual,2,5310
132,Hyundai,Elite i20SPORTZ 1.2,"£627,599.00",2017,Hyderabad,Petrol,38526KM,Manual,2,13961
133,Hyundai,i20MAGNA O 1.2,"£344,099.00",2010,Hyderabad,Petrol,68124KM,Manual,2,7654
134,Maruti,AltoLXI,"£226,499.00",2010,Hyderabad,Petrol,45557KM,Manual,1,5038
135,Maruti,Swift DzireZXI 1.2 BS IV,"£664,799.00",2016,Hyderabad,Petrol,33459KM,Manual,1,14788
136,Maruti,,"£337,799.00",2016,Hyderabad,Petrol,47897KM,,2,7514
137,Maruti,Swift DzireVDI OPT,"£699,999.00",2017,Hyderabad,Diesel,19208KM,Manual,1,15571
138,Maruti,BalenoZETA DDIS 190,"£611,899.00",2015,Hyderabad,Diesel,65879KM,Manual,1,13611
139,Maruti,BalenoALPHA DDIS 190,"£658,199.00",2016,Hyderabad,Diesel,51170KM,Manual,1,14641
140,Maruti,Vitara BrezzaVDI AMT,"£901,099.00",2018,Hyderabad,Diesel,8592KM,Manual,1,20044
141,Maruti,AltoLXI,"£180,499.00",2009,Hyderabad,Petrol,74115KM,Manual,2,4015
142,Maruti,Alto K10VXI,"£367,399.00",2017,Hyderabad,Petrol,68637KM,Manual,2,8173
143,Maruti,BalenoALPHA 1.2 K12,"£705,099.00",2018,Hyderabad,Petrol,17499KM,Manual,1,15685
144,Hyundai,i10MAGNA 1.2,"£232,799.00",2009,Hyderabad,Petrol,66427KM,Manual,2,5178
145,Maruti,Alto 800LXI,"£331,199.00",2018,Hyderabad,Petrol,51080KM,Manual,1,7367
146,Hyundai,i10ERA 1.1 IRDE,"£252,099.00",2009,Hyderabad,Petrol,67325KM,Manual,2,5608
147,Hyundai,i20SPORTZ 1.2 O,"£397,499.00",2011,Hyderabad,Petrol,83890KM,Manual,1,8842
148,Maruti,AltoLXI,"£181,199.00",2009,Hyderabad,Petrol,60584KM,Manual,2,4031
149,Hyundai,Santro XingGLS,"£201,399.00",2007,Hyderabad,Petrol,38392KM,Manual,1,4480
150,Maruti,Alto K10VXI,"£316,599.00",2017,Hyderabad,Petrol,84937KM,Manual,1,7043
151,Honda,Brio1.2 S MT I VTEC,"£341,699.00",2013,Hyderabad,Petrol,62124KM,Manual,1,7601
152,Maruti,BalenoALPHA 1.2 K12,"£706,499.00",2018,Hyderabad,Petrol,16212KM,Manual,1,15716
153,Maruti,Alto 800VXI,"£320,499.00",2015,Hyderabad,Petrol,51504KM,Manual,1,7129
154,Maruti,Alto 800LXI,"£313,699.00",2012,Hyderabad,Petrol,44791KM,Manual,2,6978
155,Hyundai,i20SPORTZ 1.2 VTVT,"£523,799.00",2014,Hyderabad,Petrol,46849KM,Manual,1,11652
156,Hyundai,Santro XingGLS,"£295,499.00",2013,Hyderabad,Petrol,68484KM,Manual,1,6573
157,Maruti,Wagon R 1.0VXI,"£405,399.00",2015,Hyderabad,Petrol,59222KM,Manual,1,9018
158,Maruti,Wagon R 1.0VXI,"£437,599.00",2017,Hyderabad,Petrol,42383KM,Manual,2,9734
159,Maruti,Alto 800LXI,"£348,399.00",2019,Hyderabad,Petrol,30782KM,Manual,1,7750
160,Hyundai,Elite i20SPORTZ 1.2,"£551,699.00",2018,Hyderabad,Petrol,67132KM,Manual,1,12272
161,Hyundai,i10ERA,"£238,299.00",2007,Hyderabad,Petrol,86145KM,Manual,2,5301
162,Honda,WR-V1.5 i-DTEC VX MT,"£924,799.00",2019,Hyderabad,Diesel,52284KM,Manual,1,20572
163,Renault,KwidRXL,"£341,899.00",2016,Hyderabad,Petrol,52399KM,Manual,1,7605
164,Maruti,Swift DzireVXI 1.2 BS IV,"£531,899.00",2015,Hyderabad,Petrol,60966KM,Manual,2,11832
165,Maruti,BalenoALPHA 1.2 K12,"£642,699.00",2017,Hyderabad,Petrol,51082KM,Manual,1,14296
166,Volkswagen,,"£593,799.00",2017,Hyderabad,Petrol,51013KM,,1,13209
167,Tata,TiagoXZ 1.2 REVOTRON,"£438,999.00",2017,Hyderabad,Petrol,90206KM,Manual,1,9765
168,Maruti,Wagon R 1.0VXI ABS AIR BAG,"£256,499.00",2011,Hyderabad,Petrol,104293KM,Manual,2,5706
169,Maruti,AltoLXI,"£169,899.00",2009,Hyderabad,Petrol,89568KM,Manual,1,3779
170,Maruti,S CrossZETA 1.3,"£516,099.00",2015,Hyderabad,Diesel,74484KM,Manual,2,11480
171,Maruti,SwiftLDI,"£271,399.00",2009,Hyderabad,Diesel,90273KM,Manual,1,6037
172,Volkswagen,PoloTrendline 1.0 L Petrol,"£567,299.00",2019,Hyderabad,Petrol,33610KM,Manual,2,12619
173,Maruti,AltoLXI,"£281,099.00",2012,Hyderabad,Petrol,45552KM,Manual,2,6253
174,Maruti,Alto K10LXI,"£214,899.00",2011,Hyderabad,Petrol,92261KM,Manual,2,4780
175,Hyundai,Grand i10SPORTZ (O) 1.2 AT VTVT,"£606,699.00",2017,Hyderabad,Petrol,39524KM,Manual,1,13496
176,Maruti,Alto 800LXI,"£297,499.00",2018,Hyderabad,Petrol,42143KM,Manual,1,6618
177,Hyundai,i10ERA,"£224,099.00",2008,Hyderabad,Petrol,63040KM,Manual,2,4985
178,Maruti,AltoLXI CNG,"£202,599.00",2012,Hyderabad,Petrol + CNG,80388KM,Manual,2,4507
179,Tata,,"£597,899.00",2019,Hyderabad,Petrol,24296KM,,1,13300
180,Ford,Figo1.2 ZXI DURATEC,"£268,899.00",2010,Hyderabad,Petrol,59354KM,Manual,2,5982
181,Maruti,BalenoZETA 1.2 K12,"£619,192.00",2018,Hyderabad,Petrol,40509KM,Manual,1,13774
182,Hyundai,i10MAGNA 1.2,"£241,299.00",2008,Hyderabad,Petrol,94989KM,Manual,1,5368
183,Maruti,Swift DzireVXI 1.2 BS IV,"£535,999.00",2015,Hyderabad,Petrol,78713KM,Manual,1,11923
184,Hyundai,Santro XingGL PLUS,"£252,399.00",2011,Hyderabad,Petrol,88944KM,Manual,1,5614
185,Maruti,SwiftVDI,"£660,199.00",2019,Hyderabad,Diesel,43074KM,Manual,2,14686
186,Maruti,Swift DzireVXI 1.2 BS IV,"£534,299.00",2015,Hyderabad,Petrol,57835KM,Manual,1,11885
187,Maruti,BalenoZETA 1.2 K12,"£619,099.00",2016,Hyderabad,Petrol,66569KM,Manual,2,13772
188,Maruti,Alto K10LXI,"£214,199.00",2012,Hyderabad,Petrol,81759KM,Manual,2,4765
189,Maruti,BalenoALPHA 1.2 K12,"£711,499.00",2017,Hyderabad,Petrol,58754KM,Manual,1,15827
190,Maruti,Alto 800LXI,"£299,699.00",2019,Hyderabad,Petrol,34886KM,Manual,1,6667
191,Hyundai,Santro XingGLS,"£172,299.00",2009,Hyderabad,Petrol,105529KM,Manual,1,3833
192,Maruti,RitzVDI,"£309,999.00",2012,Hyderabad,Diesel,80522KM,Manual,1,6896
193,Maruti,DzireVDI,"£776,999.00",2019,Hyderabad,Diesel,21168KM,Manual,1,17284
194,Hyundai,Santro XingXO ERLX EURO III,"£164,199.00",2007,Hyderabad,Petrol,72130KM,Manual,1,3653
195,Hyundai,i10SPORTZ 1.2 KAPPA2,"£303,299.00",2011,Hyderabad,Petrol,92151KM,Manual,1,6747
196,Maruti,AltoLXI,"£191,699.00",2010,Hyderabad,Petrol,103310KM,Manual,1,4264
197,Maruti,Wagon R 1.0LXI CNG,"£315,299.00",2012,Hyderabad,Petrol + CNG,79870KM,Manual,1,7014
198,Maruti,Swift DzireVDI OPT,"£680,599.00",2017,Hyderabad,Diesel,59374KM,Manual,1,15140
199,Maruti,Zen EstiloLXI,"£225,499.00",2009,Hyderabad,Petrol,95532KM,Manual,2,5016
200,Ford,Figo1.2 TITANIUM DURATEC,"£242,799.00",2010,Hyderabad,Petrol,92734KM,Manual,1,5401
201,Maruti,Alto K10VXI,"£272,099.00",2012,Hyderabad,Petrol,94205KM,Manual,2,6053
202,Maruti,Swift DzireVDI OPT,"£645,799.00",2017,Hyderabad,Diesel,57889KM,Manual,1,14365
203,Maruti,Alto 800LXI,"£331,799.00",2019,Hyderabad,Petrol,29700KM,Manual,2,7381
204,Toyota,Innova Crysta2.4 VX 8 STR,"£1,879,199.00",2018,Hyderabad,Diesel,51848KM,Manual,1,41802
205,Hyundai,i10MAGNA 1.2,"£262,099.00",2009,Hyderabad,Petrol,87163KM,Manual,2,5830
206,Maruti,SwiftZDI,"£460,799.00",2012,Hyderabad,Diesel,77838KM,Manual,2,10250
207,Maruti,SwiftVXI,"£436,699.00",2012,Hyderabad,Petrol,79896KM,Manual,2,9714
208,Hyundai,i10MAGNA 1.2 KAPPA2,"£283,399.00",2011,Hyderabad,Petrol,93562KM,Manual,2,6304
209,Maruti,Wagon R DuoLXI LPG,"£196,599.00",2008,Hyderabad,Petrol + LPG,99395KM,Manual,2,4373
210,Hyundai,Santro XingGL,"£215,199.00",2010,Hyderabad,Petrol,87080KM,Manual,2,4787
211,Maruti,,"£973,399.00",2019,Hyderabad,Petrol,10348KM,,1,21653
212,Maruti,Alto K10LXI,"£190,399.00",2010,Hyderabad,Petrol,101672KM,Manual,1,4235
213,Maruti,Swift DzireVXI 1.2 BS IV,"£486,099.00",2013,Hyderabad,Petrol,76078KM,Manual,1,10813
214,Volkswagen,PoloTrendline 1.0 L Petrol,"£591,999.00",2019,Hyderabad,Petrol,42284KM,Manual,1,13169
215,Hyundai,i10MAGNA 1.2 KAPPA2,"£376,999.00",2011,Hyderabad,Petrol,75528KM,Manual,1,8386
216,Maruti,Swift DzireVDI OPT,"£631,999.00",2016,Hyderabad,Diesel,53258KM,Manual,1,14058
217,Maruti,Wagon RLXI,"£280,899.00",2009,Hyderabad,Petrol,74291KM,Manual,1,6248
218,Volkswagen,VentoHIGHLINE DIESEL,"£497,699.00",2013,Hyderabad,Diesel,80714KM,Manual,2,11071
219,Honda,CityVX CVT PETROL,"£881,599.00",2017,Hyderabad,Petrol,89362KM,Automatic,1,19611
220,Hyundai,i10SPORTZ 1.2,"£265,699.00",2008,Hyderabad,Petrol,89270KM,Manual,1,5910
221,Hyundai,i10SPORTZ 1.1 IRDE2,"£369,399.00",2014,Hyderabad,Petrol,81336KM,Manual,1,8217
222,Hyundai,i10SPORTZ 1.2,"£276,999.00",2010,Hyderabad,Petrol,95704KM,Manual,3,6162
223,Maruti,Wagon R 1.0VXI,"£367,499.00",2015,Hyderabad,Petrol,76719KM,Manual,1,8175
224,Maruti,RitzLDI,"£296,199.00",2012,Hyderabad,Diesel,102870KM,Manual,2,6589
225,Maruti,Alto K10VXI,"£259,599.00",2010,Hyderabad,Petrol,86328KM,Manual,2,5775
226,Mahindra,TharCRDE 4X4 BS IV,"£810,299.00",2017,Hyderabad,Diesel,37582KM,Manual,1,18025
227,Maruti,SwiftVXI 1.3,"£296,299.00",2008,Hyderabad,Petrol,95854KM,Manual,2,6591
228,Hyundai,i10MAGNA 1.2,"£262,199.00",2009,Hyderabad,Petrol,94523KM,Manual,2,5832
229,Honda,CityZX CVT ANNIVERSARY EDITION,"£962,899.00",2018,Hyderabad,Petrol,55357KM,Automatic,1,21419
230,Honda,Amaze1.5 SMT I DTEC,"£413,399.00",2013,Hyderabad,Diesel,85851KM,Manual,3,9196
231,Maruti,CelerioVXI,"£364,299.00",2015,Hyderabad,Petrol,102472KM,Manual,1,8104
232,Volkswagen,PoloHIGHLINE1.2L DIESEL,"£470,899.00",2013,Hyderabad,Diesel,77361KM,Manual,1,10475
233,Mahindra,XUV500W8 FWD,"£457,599.00",2012,Hyderabad,Diesel,91966KM,Manual,1,10179
234,Maruti,Swift DzireVXI 1.2 BS IV,"£522,799.00",2015,Hyderabad,Petrol,107589KM,Manual,1,11629
235,Maruti,SwiftLDI,"£365,699.00",2009,Hyderabad,Diesel,84156KM,Manual,1,8135
236,Maruti,Wagon R 1.0LXI CNG,"£311,499.00",2012,Hyderabad,Petrol + CNG,86601KM,Manual,1,6929
237,Maruti,BalenoALPHA DDIS 190,"£723,699.00",2018,Hyderabad,Diesel,74535KM,Manual,1,16098
238,Maruti,Wagon R 1.0VXI,"£325,199.00",2013,Hyderabad,Petrol,77678KM,Manual,1,7234
239,Maruti,BalenoZETA 1.2 K12,"£595,699.00",2017,Hyderabad,Petrol,62516KM,Manual,1,13251
240,Hyundai,i10SPORTZ 1.2 KAPPA2,"£315,099.00",2011,Hyderabad,Petrol,112315KM,Manual,2,7009
